Metric,Value
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,1.063193
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,8.999610
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,497
design__max_fanout_violation__count__corner:max_tt_025C_1v80,276
design__max_cap_violation__count__corner:max_tt_025C_1v80,27
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.776204233968851
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.132884929043979
timing__hold__ws__corner:max_tt_025C_1v80,1.009826029157344
timing__setup__ws__corner:max_tt_025C_1v80,1.248839289550503
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,1.748266
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.460683
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1022
design__max_fanout_violation__count__corner:max_ss_100C_1v60,276
design__max_cap_violation__count__corner:max_ss_100C_1v60,101
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.530724701430489
clock__skew__worst_setup__corner:max_ss_100C_1v60,2.0110744749838436
timing__hold__ws__corner:max_ss_100C_1v60,2.2676199337885175
timing__setup__ws__corner:max_ss_100C_1v60,-2.5160318984847563
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-85.53922967617346
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-2.5160318984847563
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,2.561845
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,113
timing__setup_r2r__ws__corner:max_ss_100C_1v60,9.911931
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
